Gender,City,Education_Level,Membership_Type,Payment_Method,Age,Annual_Income,Spending_Score
Male,Chennai,High School,Platinum,Net Banking,45,1134550,16
Female,Delhi,Master,Silver,UPI,22,782111,24
Male,Delhi,Master,Basic,Credit Card,22,733903,61
Male,Delhi,High School,Gold,Cash,38,706554,54
Male,Pune,Master,Gold,Cash,29,1116931,62
Female,Hyderabad,High School,Silver,Debit Card,21,800724,1
Male,Pune,Bachelor,Silver,Cash,59,1057549,49
Male,Hyderabad,Master,Gold,UPI,37,759070,25
Male,Pune,High School,Basic,Net Banking,55,1327109,10
Female,Pune,Master,Gold,Net Banking,42,440011,80
Male,Chennai,Master,Platinum,Net Banking,31,1437903,16
Male,Bangalore,Bachelor,Platinum,Credit Card,28,272684,58
Male,Pune,High School,Silver,Cash,49,1465197,72
Male,Chennai,High School,Basic,UPI,28,1483871,29
Female,Mumbai,Bachelor,Basic,Credit Card,35,975723,92
Male,Bangalore,PhD,Platinum,Debit Card,44,1147509,6
Female,Pune,Bachelor,Gold,UPI,35,1154138,16
Female,Delhi,High School,Silver,UPI,40,937651,20
Female,Mumbai,Bachelor,Gold,UPI,28,911423,80
Male,Mumbai,Bachelor,Gold,Net Banking,38,353466,71
Female,Chennai,Master,Gold,UPI,61,434318,78
Male,Mumbai,High School,Basic,Cash,22,572778,43
Female,Bangalore,Master,Platinum,UPI,40,331936,26
Female,Pune,Bachelor,Basic,Net Banking,58,1157726,90
Female,Pune,PhD,Platinum,UPI,42,847952,78
Female,Delhi,Bachelor,Silver,Debit Card,58,876315,71
Female,Chennai,Bachelor,Silver,Debit Card,27,572818,33
Female,Delhi,PhD,Gold,Net Banking,39,1352109,26
Female,Mumbai,High School,Platinum,Cash,36,1068277,45
Female,Delhi,PhD,Platinum,Cash,18,1496573,84
Male,Bangalore,Bachelor,Platinum,Credit Card,24,1318166,63
Male,Pune,High School,Gold,Net Banking,21,528615,67
Female,Mumbai,Bachelor,Gold,UPI,18,681530,52
Female,Delhi,Master,Silver,Net Banking,32,1493512,68
Female,Chennai,High School,Basic,Credit Card,57,609925,26
Male,Bangalore,Bachelor,Platinum,Net Banking,29,1258302,75
Female,Bangalore,Bachelor,Platinum,Net Banking,39,391896,2
Male,Delhi,Bachelor,Basic,Credit Card,39,1289118,14
Male,Pune,High School,Platinum,Cash,64,613461,30
Male,Delhi,Master,Gold,UPI,34,1283329,49
Male,Mumbai,PhD,Gold,Credit Card,46,1066220,12
Male,Delhi,PhD,Platinum,Debit Card,63,483460,90
Female,Bangalore,Master,Gold,Cash,31,433979,44
Female,Delhi,High School,Gold,Debit Card,37,808986,33
Female,Pune,Master,Platinum,Cash,50,478104,13
Female,Chennai,High School,Silver,UPI,60,1279367,78
Female,Hyderabad,High School,Basic,UPI,32,1225270,88
Male,Delhi,Bachelor,Gold,Net Banking,29,487360,98
Female,Pune,Bachelor,Silver,Debit Card,57,797578,26
Female,Pune,Master,Gold,Cash,37,771302,21
Male,Chennai,Bachelor,Gold,UPI,47,335150,28
Female,Bangalore,Bachelor,Basic,Credit Card,55,1195893,48
Male,Pune,High School,Gold,UPI,20,1299095,100
Female,Pune,PhD,Basic,Credit Card,45,773340,40
Male,Pune,Bachelor,Basic,Cash,43,1262965,66
Female,Pune,Bachelor,Basic,UPI,47,558105,73
Female,Mumbai,High School,Silver,UPI,30,1080147,87
Male,Mumbai,Master,Platinum,Cash,30,1037165,79
Male,Bangalore,Bachelor,Silver,UPI,19,1072318,77
Male,Delhi,High School,Platinum,Credit Card,54,1406329,23
Male,Pune,High School,Platinum,UPI,55,543150,81
Male,Chennai,Bachelor,Basic,Debit Card,19,1343489,48
Male,Delhi,Bachelor,Gold,Net Banking,53,818396,2
Male,Chennai,High School,Basic,Credit Card,43,979091,84
Male,Delhi,PhD,Gold,Debit Card,28,469637,20
Female,Bangalore,High School,Platinum,Cash,25,269639,59
Female,Pune,Bachelor,Basic,Credit Card,61,1480028,46
Male,Pune,PhD,Gold,Net Banking,57,509378,3
Female,Hyderabad,Bachelor,Silver,Net Banking,60,1164795,55
Female,Chennai,Bachelor,Gold,Cash,39,686084,12
Female,Delhi,Bachelor,Basic,Cash,37,469515,40
Female,Delhi,High School,Silver,Credit Card,25,432520,66
Male,Mumbai,PhD,Gold,UPI,46,1492035,100
Female,Hyderabad,Bachelor,Gold,Cash,57,871986,78
Male,Mumbai,Master,Gold,UPI,43,437330,16
Female,Mumbai,High School,Gold,Debit Card,47,1354149,83
Female,Mumbai,High School,Gold,Net Banking,34,1124634,34
Female,Chennai,High School,Silver,UPI,37,337900,44
Male,Chennai,Bachelor,Platinum,Net Banking,33,519658,6
Female,Bangalore,Bachelor,Silver,UPI,63,700364,77
Male,Bangalore,Master,Silver,Debit Card,60,1484283,64
Female,Mumbai,Bachelor,Silver,Cash,24,898419,100
Male,Hyderabad,PhD,Platinum,Debit Card,33,723116,22
Female,Delhi,High School,Basic,Cash,62,713066,18
Male,Chennai,Master,Platinum,Cash,64,464179,12
