Age,Annual_Income,Spending_Score,Education_Level_enc,Membership_Type_enc,Gender_Male,City_Chennai,City_Delhi,City_Hyderabad,City_Mumbai,City_Pune,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI
45,1134550,16,1,4,True,True,False,False,False,False,False,False,True,False
22,782111,24,3,2,False,False,True,False,False,False,False,False,False,True
22,733903,61,3,1,True,False,True,False,False,False,True,False,False,False
38,706554,54,1,3,True,False,True,False,False,False,False,False,False,False
29,1116931,62,3,3,True,False,False,False,False,True,False,False,False,False
21,800724,1,1,2,False,False,False,True,False,False,False,True,False,False
59,1057549,49,2,2,True,False,False,False,False,True,False,False,False,False
37,759070,25,3,3,True,False,False,True,False,False,False,False,False,True
55,1327109,10,1,1,True,False,False,False,False,True,False,False,True,False
42,440011,80,3,3,False,False,False,False,False,True,False,False,True,False
31,1437903,16,3,4,True,True,False,False,False,False,False,False,True,False
28,272684,58,2,4,True,False,False,False,False,False,True,False,False,False
49,1465197,72,1,2,True,False,False,False,False,True,False,False,False,False
28,1483871,29,1,1,True,True,False,False,False,False,False,False,False,True
35,975723,92,2,1,False,False,False,False,True,False,True,False,False,False
44,1147509,6,4,4,True,False,False,False,False,False,False,True,False,False
35,1154138,16,2,3,False,False,False,False,False,True,False,False,False,True
40,937651,20,1,2,False,False,True,False,False,False,False,False,False,True
28,911423,80,2,3,False,False,False,False,True,False,False,False,False,True
38,353466,71,2,3,True,False,False,False,True,False,False,False,True,False
61,434318,78,3,3,False,True,False,False,False,False,False,False,False,True
22,572778,43,1,1,True,False,False,False,True,False,False,False,False,False
40,331936,26,3,4,False,False,False,False,False,False,False,False,False,True
58,1157726,90,2,1,False,False,False,False,False,True,False,False,True,False
42,847952,78,4,4,False,False,False,False,False,True,False,False,False,True
58,876315,71,2,2,False,False,True,False,False,False,False,True,False,False
27,572818,33,2,2,False,True,False,False,False,False,False,True,False,False
39,1352109,26,4,3,False,False,True,False,False,False,False,False,True,False
36,1068277,45,1,4,False,False,False,False,True,False,False,False,False,False
18,1496573,84,4,4,False,False,True,False,False,False,False,False,False,False
24,1318166,63,2,4,True,False,False,False,False,False,True,False,False,False
21,528615,67,1,3,True,False,False,False,False,True,False,False,True,False
18,681530,52,2,3,False,False,False,False,True,False,False,False,False,True
32,1493512,68,3,2,False,False,True,False,False,False,False,False,True,False
57,609925,26,1,1,False,True,False,False,False,False,True,False,False,False
29,1258302,75,2,4,True,False,False,False,False,False,False,False,True,False
39,391896,2,2,4,False,False,False,False,False,False,False,False,True,False
39,1289118,14,2,1,True,False,True,False,False,False,True,False,False,False
64,613461,30,1,4,True,False,False,False,False,True,False,False,False,False
34,1283329,49,3,3,True,False,True,False,False,False,False,False,False,True
46,1066220,12,4,3,True,False,False,False,True,False,True,False,False,False
63,483460,90,4,4,True,False,True,False,False,False,False,True,False,False
31,433979,44,3,3,False,False,False,False,False,False,False,False,False,False
37,808986,33,1,3,False,False,True,False,False,False,False,True,False,False
50,478104,13,3,4,False,False,False,False,False,True,False,False,False,False
60,1279367,78,1,2,False,True,False,False,False,False,False,False,False,True
32,1225270,88,1,1,False,False,False,True,False,False,False,False,False,True
29,487360,98,2,3,True,False,True,False,False,False,False,False,True,False
57,797578,26,2,2,False,False,False,False,False,True,False,True,False,False
37,771302,21,3,3,False,False,False,False,False,True,False,False,False,False
47,335150,28,2,3,True,True,False,False,False,False,False,False,False,True
55,1195893,48,2,1,False,False,False,False,False,False,True,False,False,False
20,1299095,100,1,3,True,False,False,False,False,True,False,False,False,True
45,773340,40,4,1,False,False,False,False,False,True,True,False,False,False
43,1262965,66,2,1,True,False,False,False,False,True,False,False,False,False
47,558105,73,2,1,False,False,False,False,False,True,False,False,False,True
30,1080147,87,1,2,False,False,False,False,True,False,False,False,False,True
30,1037165,79,3,4,True,False,False,False,True,False,False,False,False,False
19,1072318,77,2,2,True,False,False,False,False,False,False,False,False,True
54,1406329,23,1,4,True,False,True,False,False,False,True,False,False,False
55,543150,81,1,4,True,False,False,False,False,True,False,False,False,True
19,1343489,48,2,1,True,True,False,False,False,False,False,True,False,False
53,818396,2,2,3,True,False,True,False,False,False,False,False,True,False
43,979091,84,1,1,True,True,False,False,False,False,True,False,False,False
28,469637,20,4,3,True,False,True,False,False,False,False,True,False,False
25,269639,59,1,4,False,False,False,False,False,False,False,False,False,False
61,1480028,46,2,1,False,False,False,False,False,True,True,False,False,False
57,509378,3,4,3,True,False,False,False,False,True,False,False,True,False
60,1164795,55,2,2,False,False,False,True,False,False,False,False,True,False
39,686084,12,2,3,False,True,False,False,False,False,False,False,False,False
37,469515,40,2,1,False,False,True,False,False,False,False,False,False,False
25,432520,66,1,2,False,False,True,False,False,False,True,False,False,False
46,1492035,100,4,3,True,False,False,False,True,False,False,False,False,True
57,871986,78,2,3,False,False,False,True,False,False,False,False,False,False
43,437330,16,3,3,True,False,False,False,True,False,False,False,False,True
47,1354149,83,1,3,False,False,False,False,True,False,False,True,False,False
34,1124634,34,1,3,False,False,False,False,True,False,False,False,True,False
37,337900,44,1,2,False,True,False,False,False,False,False,False,False,True
33,519658,6,2,4,True,True,False,False,False,False,False,False,True,False
63,700364,77,2,2,False,False,False,False,False,False,False,False,False,True
60,1484283,64,3,2,True,False,False,False,False,False,False,True,False,False
24,898419,100,2,2,False,False,False,False,True,False,False,False,False,False
33,723116,22,4,4,True,False,False,True,False,False,False,True,False,False
62,713066,18,1,1,False,False,True,False,False,False,False,False,False,False
64,464179,12,3,4,True,True,False,False,False,False,False,False,False,False
44,1358343,52,3,2,True,False,False,True,False,False,False,False,True,False
40,633961,94,3,3,False,False,False,False,False,True,False,True,False,False
41,741529,51,3,3,True,True,False,False,False,False,False,False,False,True
26,777263,71,3,2,False,True,False,False,False,False,False,True,False,False
52,354226,96,2,3,False,False,False,False,False,False,False,False,True,False
37,1162454,48,1,2,False,False,True,False,False,False,False,False,False,False
54,691818,19,1,3,False,False,True,False,False,False,False,False,True,False
59,256396,6,4,4,False,False,False,False,False,True,True,False,False,False
34,318920,84,2,1,False,False,False,False,False,True,True,False,False,False
64,606547,27,3,1,False,True,False,False,False,False,False,False,False,True
48,394999,53,2,4,False,False,False,False,True,False,False,False,True,False
25,263014,48,1,4,False,False,False,False,False,False,False,False,False,True
32,794699,7,1,2,False,False,False,False,False,False,False,False,False,True
48,385550,59,2,2,False,True,False,False,False,False,True,False,False,False
47,1435382,69,2,2,True,False,False,True,False,False,False,False,False,True
63,1233994,11,1,3,True,False,False,False,True,False,True,False,False,False
37,538585,15,2,2,False,True,False,False,False,False,False,False,False,False
56,1294697,64,1,4,False,False,False,False,True,False,False,False,True,False
29,1244890,3,2,1,False,False,False,False,True,False,False,False,False,True
34,522341,69,1,3,False,False,False,False,True,False,True,False,False,False
59,1333153,23,3,2,False,True,False,False,False,False,False,True,False,False
47,556778,53,2,3,False,False,False,False,False,False,False,False,False,True
46,1497682,37,2,3,False,False,False,False,False,False,False,False,False,False
36,1235141,9,1,2,False,False,False,False,True,False,False,False,False,False
63,860197,15,1,3,True,False,False,True,False,False,False,True,False,False
28,705200,3,2,1,False,False,True,False,False,False,True,False,False,False
51,676379,93,2,4,True,True,False,False,False,False,False,False,False,True
24,725754,70,2,4,False,False,True,False,False,False,True,False,False,False
61,1236149,17,1,1,False,False,False,True,False,False,False,False,False,False
51,546030,26,2,3,True,True,False,False,False,False,True,False,False,False
37,528055,21,3,2,False,False,False,False,True,False,False,False,False,False
55,288422,72,3,3,True,False,False,False,False,False,True,False,False,False
41,1215691,21,1,1,False,False,True,False,False,False,False,True,False,False
27,535513,11,2,3,False,False,False,False,False,True,False,False,True,False
49,1158378,38,1,4,True,False,False,False,False,True,False,True,False,False
32,932722,72,1,3,False,False,False,True,False,False,False,True,False,False
54,1086388,88,4,1,True,False,False,False,True,False,False,False,True,False
37,1400847,35,1,4,False,False,True,False,False,False,False,False,True,False
20,1234104,14,2,3,True,False,False,False,True,False,False,False,False,True
54,553548,14,2,3,True,False,True,False,False,False,False,False,False,True
57,1044156,10,3,4,False,False,False,True,False,False,False,True,False,False
25,1416053,12,2,2,False,False,False,True,False,False,False,True,False,False
57,1477880,38,1,4,True,False,False,False,False,True,False,False,False,False
61,1226163,34,2,2,False,False,False,False,True,False,False,False,False,False
40,1015363,41,2,1,False,True,False,False,False,False,False,False,False,True
57,552621,10,1,1,False,False,False,False,False,True,False,False,False,True
28,672697,17,2,4,True,False,False,False,True,False,False,False,False,False
63,931658,17,1,4,True,False,False,False,False,True,False,False,False,False
25,885493,67,1,1,True,True,False,False,False,False,True,False,False,False
46,967976,62,2,2,True,False,False,False,False,False,True,False,False,False
47,678705,95,1,1,True,False,False,False,False,False,False,False,False,False
27,502619,1,2,4,True,False,False,False,False,False,True,False,False,False
56,806954,12,2,1,True,False,False,False,False,False,False,False,True,False
45,558766,4,3,4,True,False,True,False,False,False,False,False,False,True
53,307573,42,1,4,True,False,False,False,False,False,False,False,False,True
30,469152,13,1,1,False,True,False,False,False,False,False,False,False,False
49,510435,98,1,2,True,False,False,True,False,False,False,True,False,False
53,358477,85,2,3,False,False,False,True,False,False,False,False,False,False
54,1496717,86,3,1,False,False,True,False,False,False,True,False,False,False
43,498530,4,1,3,False,False,False,False,False,False,False,True,False,False
39,1400475,82,4,1,True,False,False,False,False,False,True,False,False,False
21,1019472,69,1,3,True,False,False,False,False,False,False,False,True,False
48,540687,19,2,2,True,False,False,False,False,True,True,False,False,False
35,1215197,2,3,2,True,False,False,False,True,False,False,False,True,False
55,759603,12,3,1,False,False,False,False,False,True,False,False,True,False
41,614380,81,3,4,True,False,False,False,True,False,True,False,False,False
40,1380594,74,3,3,True,False,False,False,False,False,True,False,False,False
39,1001125,98,2,4,True,False,False,False,False,False,False,False,True,False
19,489385,6,3,4,True,False,False,False,False,True,False,True,False,False
48,1101626,8,1,4,True,False,False,False,False,True,False,False,True,False
28,295790,51,3,2,False,False,False,False,True,False,False,False,False,True
45,1133044,11,2,1,True,False,False,True,False,False,False,False,True,False
63,796543,63,3,1,False,False,False,False,True,False,False,True,False,False
49,1420851,57,2,2,True,False,False,False,False,True,False,False,False,True
22,1259926,12,2,2,False,True,False,False,False,False,False,False,False,False
55,518953,73,2,1,True,False,False,False,False,True,False,False,False,False
27,301894,2,3,4,True,True,False,False,False,False,False,True,False,False
57,636048,8,1,3,False,False,True,False,False,False,False,False,True,False
63,479720,11,1,3,False,False,False,False,False,True,True,False,False,False
41,1331960,53,1,3,False,False,True,False,False,False,False,True,False,False
52,1248966,100,1,4,True,False,False,True,False,False,False,False,False,True
61,1031868,10,3,1,False,False,False,False,True,False,False,False,False,True
40,606245,85,1,2,True,True,False,False,False,False,False,False,False,False
34,222490,84,4,1,True,False,False,False,True,False,False,False,False,True
18,1032307,8,2,4,False,False,True,False,False,False,False,True,False,False
48,805108,36,1,2,False,True,False,False,False,False,False,False,False,True
48,471265,93,3,4,True,False,False,False,True,False,False,True,False,False
59,201539,76,2,3,True,False,False,False,False,True,True,False,False,False
59,512579,14,2,3,False,False,False,False,False,False,False,False,False,False
51,715584,54,2,4,False,False,True,False,False,False,False,False,False,True
26,263965,85,3,2,False,False,False,False,True,False,False,True,False,False
39,1346375,86,1,2,True,False,True,False,False,False,False,False,True,False
30,1342524,21,4,1,True,False,True,False,False,False,False,False,False,False
42,1391890,50,4,3,True,True,False,False,False,False,True,False,False,False
35,448099,94,2,1,True,True,False,False,False,False,False,True,False,False
29,1230065,39,1,1,True,False,False,False,False,False,True,False,False,False
57,995379,20,2,4,True,False,False,False,False,True,True,False,False,False
34,967610,88,1,4,False,False,True,False,False,False,False,False,False,True
32,926826,87,1,1,True,False,False,False,True,False,False,False,False,True
59,1106395,7,1,3,True,False,False,True,False,False,False,True,False,False
32,1260194,9,2,4,True,False,True,False,False,False,False,False,True,False
32,536430,1,3,1,False,False,True,False,False,False,False,True,False,False
56,862714,26,3,1,True,False,False,False,False,False,False,False,True,False
30,810724,38,3,1,True,False,False,False,False,True,True,False,False,False
34,410448,38,2,1,False,False,False,True,False,False,False,False,False,False
49,1170278,61,2,1,True,True,False,False,False,False,False,True,False,False
26,695919,44,2,1,True,True,False,False,False,False,False,True,False,False
57,1384685,86,4,4,True,False,False,False,True,False,False,False,True,False
37,1277209,44,1,3,True,False,False,True,False,False,True,False,False,False
43,1010927,74,3,1,True,True,False,False,False,False,True,False,False,False
44,1050982,62,2,2,False,False,False,False,True,False,False,False,True,False
38,412456,6,2,4,False,False,False,False,False,True,True,False,False,False
35,575325,17,3,4,False,False,False,False,True,False,False,False,False,True
30,666589,51,2,1,True,True,False,False,False,False,False,False,False,False
33,496213,38,3,4,True,False,False,False,False,False,False,True,False,False
26,1387018,24,4,1,True,False,False,False,False,False,False,False,False,False
29,1103275,51,2,3,False,False,False,False,False,False,False,True,False,False
61,1320523,10,1,3,True,True,False,False,False,False,False,False,False,True
55,370205,72,2,4,True,False,False,False,False,False,True,False,False,False
36,1344337,21,4,4,False,False,False,True,False,False,False,False,True,False
24,1118196,70,1,2,True,False,False,False,False,True,False,False,False,True
52,1353276,85,2,4,False,False,False,False,True,False,False,False,False,False
35,773881,57,2,2,False,False,False,False,True,False,False,False,True,False
33,1218454,39,3,3,False,True,False,False,False,False,True,False,False,False
56,205209,88,1,3,True,False,False,False,False,False,False,False,False,True
21,599749,33,3,1,True,False,False,False,False,False,False,False,True,False
42,1258503,59,4,3,True,False,True,False,False,False,False,False,False,True
49,841621,18,1,2,True,False,False,False,False,True,False,False,False,True
57,1404242,56,1,4,True,False,False,True,False,False,True,False,False,False
30,930212,92,4,1,True,False,False,False,True,False,False,True,False,False
62,1457361,57,1,2,True,False,True,False,False,False,False,False,True,False
34,538526,96,3,4,False,False,True,False,False,False,True,False,False,False
54,339005,76,2,1,True,True,False,False,False,False,False,False,False,True
23,1229661,48,1,3,False,False,False,False,True,False,True,False,False,False
36,396521,42,3,2,True,True,False,False,False,False,False,True,False,False
30,1123593,27,2,4,True,False,False,True,False,False,False,False,True,False
43,649764,74,2,1,True,False,True,False,False,False,False,True,False,False
31,1405771,52,2,1,False,False,True,False,False,False,False,False,False,False
48,1298589,42,2,3,False,False,False,False,False,True,False,False,True,False
21,601562,32,1,4,False,False,False,True,False,False,False,True,False,False
56,416486,26,2,3,False,False,True,False,False,False,False,False,False,True
25,626888,25,4,3,True,False,False,True,False,False,False,False,True,False
42,1035988,75,1,4,False,False,False,False,True,False,False,False,True,False
30,1110155,23,2,4,True,False,False,False,False,False,True,False,False,False
49,750428,98,2,4,True,False,True,False,False,False,False,False,False,True
55,463328,57,3,2,False,False,False,False,False,True,False,False,False,False
55,311361,52,1,4,False,False,False,False,True,False,False,True,False,False
45,992038,87,4,1,False,False,False,True,False,False,True,False,False,False
47,597172,93,2,3,False,True,False,False,False,False,False,True,False,False
20,1265131,31,1,2,False,False,False,False,True,False,False,False,False,False
45,814673,64,1,4,False,False,True,False,False,False,False,False,False,False
