Spending_Score,High_Spender,Spending_Income_Ratio
16,0,0.01
24,0,0.03
61,0,0.08
54,0,0.08
62,0,0.06
1,0,0.0
49,0,0.05
25,0,0.03
10,0,0.01
80,1,0.18
16,0,0.01
58,0,0.21
72,0,0.05
29,0,0.02
92,1,0.09
6,0,0.01
16,0,0.01
20,0,0.02
80,1,0.09
71,0,0.2
78,1,0.18
43,0,0.08
26,0,0.08
90,1,0.08
78,1,0.09
71,0,0.08
33,0,0.06
26,0,0.02
45,0,0.04
84,1,0.06
63,0,0.05
67,0,0.13
52,0,0.08
68,0,0.05
26,0,0.04
75,0,0.06
2,0,0.01
14,0,0.01
30,0,0.05
49,0,0.04
12,0,0.01
90,1,0.19
44,0,0.1
33,0,0.04
13,0,0.03
78,1,0.06
88,1,0.07
98,1,0.2
26,0,0.03
21,0,0.03
28,0,0.08
48,0,0.04
100,1,0.08
40,0,0.05
66,0,0.05
73,0,0.13
87,1,0.08
79,1,0.08
77,1,0.07
23,0,0.02
81,1,0.15
48,0,0.04
2,0,0.0
84,1,0.09
20,0,0.04
59,0,0.22
46,0,0.03
3,0,0.01
55,0,0.05
12,0,0.02
40,0,0.09
66,0,0.15
100,1,0.07
78,1,0.09
16,0,0.04
83,1,0.06
34,0,0.03
44,0,0.13
6,0,0.01
77,1,0.11
64,0,0.04
100,1,0.11
22,0,0.03
18,0,0.03
12,0,0.03
52,0,0.04
94,1,0.15
51,0,0.07
71,0,0.09
96,1,0.27
48,0,0.04
19,0,0.03
6,0,0.02
84,1,0.26
27,0,0.04
53,0,0.13
48,0,0.18
7,0,0.01
59,0,0.15
69,0,0.05
11,0,0.01
15,0,0.03
64,0,0.05
3,0,0.0
69,0,0.13
23,0,0.02
53,0,0.1
37,0,0.02
9,0,0.01
15,0,0.02
3,0,0.0
93,1,0.14
70,0,0.1
17,0,0.01
26,0,0.05
21,0,0.04
72,0,0.25
21,0,0.02
11,0,0.02
38,0,0.03
72,0,0.08
88,1,0.08
35,0,0.02
14,0,0.01
14,0,0.03
10,0,0.01
12,0,0.01
38,0,0.03
34,0,0.03
41,0,0.04
10,0,0.02
17,0,0.03
17,0,0.02
67,0,0.08
62,0,0.06
95,1,0.14
1,0,0.0
12,0,0.01
4,0,0.01
42,0,0.14
13,0,0.03
98,1,0.19
85,1,0.24
86,1,0.06
4,0,0.01
82,1,0.06
69,0,0.07
19,0,0.04
2,0,0.0
12,0,0.02
81,1,0.13
74,0,0.05
98,1,0.1
6,0,0.01
8,0,0.01
51,0,0.17
11,0,0.01
63,0,0.08
57,0,0.04
12,0,0.01
73,0,0.14
2,0,0.01
8,0,0.01
11,0,0.02
53,0,0.04
100,1,0.08
10,0,0.01
